,Maze,Metric,Alternative,P Value,Null Hypothesis
292,Woods101-v0,full_knowledge_stable_trial_list,larger,3.940560726245959e-05,Reject
293,Woods101-v0,full_knowledge_stable_trial_list,smaller,0.9999605943927375,Accept
294,Woods101demi-v0,knowledge_list,two-sided,,Accept
295,Woods101demi-v0,knowledge_list,larger,,Accept
296,Woods101demi-v0,knowledge_list,smaller,,Accept
297,Woods101demi-v0,population_list,two-sided,9.591098150967578e-12,Reject
298,Woods101demi-v0,population_list,larger,4.795549075483789e-12,Reject
299,Woods101demi-v0,population_list,smaller,0.9999999999952045,Accept
300,Woods101demi-v0,reliable_list,two-sided,1.16529925780388e-61,Reject
301,Woods101demi-v0,reliable_list,larger,5.8264962890194e-62,Reject
302,Woods101demi-v0,reliable_list,smaller,1.0,Accept
303,Woods101demi-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
304,Woods101demi-v0,pees_matching_non_aliased_states_list,larger,,Accept
305,Woods101demi-v0,pees_matching_non_aliased_states_list,smaller,,Accept
306,Woods101demi-v0,mean_reliable_classifier_specificity_list,two-sided,8.050880059193058e-45,Reject
307,Woods101demi-v0,mean_reliable_classifier_specificity_list,larger,4.025440029596529e-45,Reject
308,Woods101demi-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
309,Woods101demi-v0,full_knowledge_first_trial_list,two-sided,1.8435660913895602e-07,Reject
310,Woods101demi-v0,full_knowledge_first_trial_list,larger,9.217830456947801e-08,Reject
311,Woods101demi-v0,full_knowledge_first_trial_list,smaller,0.9999999078216955,Accept
312,Woods101demi-v0,full_knowledge_stable_trial_list,two-sided,1.0855767013240171e-06,Reject
313,Woods101demi-v0,full_knowledge_stable_trial_list,larger,5.427883506620086e-07,Reject
314,Woods101demi-v0,full_knowledge_stable_trial_list,smaller,0.9999994572116493,Accept
315,Woods102-v0,knowledge_list,two-sided,,Accept
316,Woods102-v0,knowledge_list,larger,,Accept
317,Woods102-v0,knowledge_list,smaller,,Accept
318,Woods102-v0,population_list,two-sided,0.07039196216144748,Accept
