,Maze,Metric,Alternative,P Value,Null Hypothesis
246,MiyazakiB-v0,full_knowledge_first_trial_list,two-sided,2.5394209643131046e-229,Reject
247,MiyazakiB-v0,full_knowledge_first_trial_list,larger,1.0,Accept
248,MiyazakiB-v0,full_knowledge_first_trial_list,smaller,1.2697104821565523e-229,Reject
249,MiyazakiB-v0,full_knowledge_stable_trial_list,two-sided,2.5394209643131046e-229,Reject
250,MiyazakiB-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
251,MiyazakiB-v0,full_knowledge_stable_trial_list,smaller,1.2697104821565523e-229,Reject
252,Woods100-v0,knowledge_list,two-sided,0.0,Reject
253,Woods100-v0,knowledge_list,larger,1.0,Accept
254,Woods100-v0,knowledge_list,smaller,0.0,Reject
255,Woods100-v0,population_list,two-sided,1.1757900600173253e-24,Reject
256,Woods100-v0,population_list,larger,1.0,Accept
257,Woods100-v0,population_list,smaller,5.878950300086627e-25,Reject
258,Woods100-v0,reliable_list,two-sided,5.3905001624010004e-211,Reject
259,Woods100-v0,reliable_list,larger,1.0,Accept
260,Woods100-v0,reliable_list,smaller,2.6952500812005002e-211,Reject
261,Woods100-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
262,Woods100-v0,pees_matching_non_aliased_states_list,larger,,Accept
263,Woods100-v0,pees_matching_non_aliased_states_list,smaller,,Accept
264,Woods100-v0,mean_reliable_classifier_specificity_list,two-sided,0.0,Reject
265,Woods100-v0,mean_reliable_classifier_specificity_list,larger,1.0,Accept
266,Woods100-v0,mean_reliable_classifier_specificity_list,smaller,0.0,Reject
267,Woods100-v0,full_knowledge_first_trial_list,two-sided,0.0,Reject
268,Woods100-v0,full_knowledge_first_trial_list,larger,1.0,Accept
269,Woods100-v0,full_knowledge_first_trial_list,smaller,0.0,Reject
270,Woods100-v0,full_knowledge_stable_trial_list,two-sided,0.0,Reject
271,Woods100-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
272,Woods100-v0,full_knowledge_stable_trial_list,smaller,0.0,Reject
273,Woods101-v0,knowledge_list,two-sided,0.0,Reject
274,Woods101-v0,knowledge_list,larger,1.0,Accept
275,Woods101-v0,knowledge_list,smaller,0.0,Reject
276,Woods101-v0,population_list,two-sided,2.1822855390561536e-05,Reject
277,Woods101-v0,population_list,larger,0.9999890885723047,Accept
278,Woods101-v0,population_list,smaller,1.0911427695280768e-05,Reject
279,Woods101-v0,reliable_list,two-sided,0.009326876514757707,Reject
280,Woods101-v0,reliable_list,larger,0.9953365617426212,Accept
281,Woods101-v0,reliable_list,smaller,0.004663438257378853,Reject
282,Woods101-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
283,Woods101-v0,pees_matching_non_aliased_states_list,larger,,Accept
